DEPTH,CAL,AC,GR,SP
203.078,22.96,179.104,75.48,57.945
203.203,22.953,179.104,74.106,57.678
203.328,22.954,180.338,74.868,57.391
203.453,22.956,180.447,76.231,57.244
203.578,22.957,179.601,79.767,56.91
203.703,22.955,178.848,82.082,56.537
203.828,22.955,178.584,82.316,56.379
203.953,22.969,177.946,82.232,56.147
204.078,23.005,178.003,83.989,56.064
204.203,23.023,178.352,85.236,56.092
204.328,23.043,178.928,85.161,56.223
204.453,23.041,179.154,83.272,56.276
204.578,23.024,179.057,78.474,56.248
204.703,23.011,176.889,76.273,56.018
204.828,23.011,177.267,75.844,55.808
204.953,23.023,191.515,74.669,55.032
205.078,23.044,217.432,73.72,53.75
205.203,23.055,227.826,73.853,52.956
205.328,23.071,239.406,75.249,51.237
205.453,23.076,238.307,77.705,49.636
205.578,23.077,231.262,78.978,49
205.703,23.077,213.746,80.986,48.216
205.828,23.077,210.754,81.676,48.023
205.953,23.078,219.631,82.986,47.81
206.078,23.081,234.053,84.839,47.613
206.203,23.086,243.583,85.742,47.496
206.328,23.098,269.018,86.273,47.255
206.453,23.097,279.355,84.042,47.172
206.578,23.086,275.818,81.75,47.265
206.703,23.043,261.755,76.499,47.883
206.828,22.998,234.064,73.168,49.06
206.953,22.985,219.804,72.368,49.82
207.078,22.986,209.015,72.121,51.57
207.203,23.008,209.618,73.031,53.461
207.328,23.02,209.023,73.4,54.355
207.453,23.028,208.923,73.598,55.911
207.578,23.025,206.118,73.67,56.533
207.703,23.022,198.012,75.134,57.401
207.828,23.03,205.4,77.637,57.791
207.953,23.035,214.537,78.185,57.834
208.078,23.04,233.503,77.634,57.777
208.203,23.045,246.073,77.609,57.698
208.328,23.05,246.547,77.861,57.705
208.453,23.061,235.241,76.685,57.762
208.578,23.072,216.5,72.759,57.861
208.703,23.078,207.374,70.708,57.952
208.828,23.088,193.026,68.353,58.284
208.953,23.091,190.371,68.121,58.613
209.078,23.095,196.196,68.51,59.803
209.203,23.095,203.069,69.11,61.727
209.328,23.095,203.656,69.536,62.885
209.453,23.096,203.317,71.192,65.303
209.578,23.098,196.485,73.905,67.513
209.703,23.1,190.733,74.965,68.419
209.828,23.104,183.704,74.489,69.687
209.953,23.102,183.241,71.507,70.267
210.078,23.097,183.209,70.255,70.302
210.203,23.083,183.122,69.075,69.748
210.328,23.07,183.26,68.39,68.158
210.453,23.067,183.394,68.263,66.964
210.578,23.063,183.482,69.516,63.894
210.703,23.06,183.43,70.758,62.132
210.828,23.043,183.338,72.833,58.529
210.953,23.011,183.132,73.743,55.311
211.078,22.996,182.974,74.374,53.955
211.203,22.973,182.644,76.88,51.787
211.328,22.959,182.358,79.68,50.238
211.453,22.952,183.973,80.301,49.616
211.578,22.932,195.071,78.313,48.636
211.703,22.902,212.512,73.209,47.879
211.828,22.885,221.489,70.816,47.552
211.953,22.857,239.799,67.727,46.889
212.078,22.853,246.944,66.688,46.537
212.203,22.869,247.305,64.526,45.858
212.328,22.9,231.349,62.611,45.213
212.453,22.912,221.98,61.999,44.914
212.578,22.923,203.279,61.704,44.403
212.703,22.921,186.81,62.286,43.955
212.828,22.918,182.118,62.418,43.741
212.953,22.912,179.826,61.82,43.31
213.078,22.912,179.704,60.883,42.878
213.203,22.916,179.34,60.663,42.673
213.328,22.931,178.788,61.034,42.341
213.453,22.942,185.137,62.694,42.156
213.578,22.941,193.913,64.356,42.134
213.703,22.926,217.578,69.903,42.233
213.828,22.912,228.732,73.237,42.345
213.953,22.88,248.375,78.443,42.624
214.078,22.853,258.44,80.497,42.899
214.203,22.846,254.282,80.824,43.023
214.328,22.844,232.489,80.72,43.166
214.453,22.834,210.597,78.846,43.073
214.578,22.821,200.937,77.25,42.938
214.703,22.787,184.776,74.185,42.522
214.828,22.753,178.403,72.741,41.923
214.953,22.741,178.025,72.615,41.568
215.078,22.722,177.748,73.991,40.896
215.203,22.695,176.634,76.84,40.366
215.328,22.678,175.868,78.106,40.147
215.453,22.649,174.048,80.116,39.886
215.578,22.64,174.786,80.989,39.859
215.703,22.625,184.41,82.393,39.91
215.828,22.607,198.679,82.491,39.982
215.953,22.607,203.985,82.102,40.017
216.078,22.649,210.085,82.057,40.153
216.203,22.718,207.415,83.553,40.433
216.328,22.742,202.1,84.583,40.674
216.453,22.751,189.138,86.72,41.448
216.578,22.724,181.583,88.87,42.517
216.703,22.703,180.348,90.065,43.108
216.828,22.65,180.266,91.872,44.347
216.953,22.62,180.4,91.769,44.961
217.078,22.566,180.793,88.843,46.119
217.203,22.529,181.223,85.012,47.186
217.328,22.52,181.41,84.216,47.674
217.453,22.514,181.737,85.193,48.537
217.578,22.512,182.043,87.013,49.251
217.703,22.51,182.196,87.546,49.58
217.828,22.509,182.445,86.786,50.217
217.953,22.511,182.646,82.531,50.84
218.078,22.513,182.76,79.79,51.168
218.203,22.515,182.876,77.058,51.891
218.328,22.516,182.815,79.059,52.814
218.453,22.515,182.825,80.154,53.384
218.578,22.512,182.921,79.475,54.857
218.703,22.512,182.968,78.096,55.795
218.828,22.517,183.12,75.74,58.045
218.953,22.527,183.238,74.596,60.576
219.078,22.533,183.293,73.771,61.819
219.203,22.551,183.516,71.785,63.997
219.328,22.578,183.643,71.712,65.485
219.453,22.591,183.706,72.918,65.904
219.578,22.609,184.053,76.545,66.097
219.703,22.614,184.221,79.6,65.347
219.828,22.616,184.194,80.526,64.517
219.953,22.632,184.228,81.443,61.781
220.078,22.644,184.254,81.748,59.901
220.203,22.662,184.178,82.294,55.448
220.328,22.658,184.12,81.945,50.789
220.453,22.651,184.067,81.505,48.662
220.578,22.642,183.897,81.238,45.238
220.703,22.642,183.779,81.995,42.988
220.828,22.639,183.689,82.561,42.223
220.953,22.614,183.496,83.993,41.126
221.078,22.578,183.412,84.945,40.309
221.203,22.565,183.308,84.449,39.916
221.328,22.554,182.97,80.725,39.098
221.453,22.553,182.904,75.039,38.145
221.578,22.552,183.011,72.175,37.621
221.703,22.55,183.295,66.712,36.588
221.828,22.548,183.465,64.43,36.099
221.953,22.545,183.94,61.543,35.168
222.078,22.546,184.051,59.836,34.285
222.203,22.548,183.844,58.737,33.877
222.328,22.555,183.344,56.416,33.128
222.453,22.559,182.781,56.702,32.467
222.578,22.557,182.398,58.31,32.163
222.703,22.544,181.925,63.047,31.589
222.828,22.526,181.964,67.353,31.083
222.953,22.519,182.001,69.164,30.862
223.078,22.508,182.105,73.167,30.523
223.203,22.503,182.243,75.352,30.403
223.328,22.498,182.588,79.761,30.279
223.453,22.5,182.774,82.924,30.276
223.578,22.5,182.799,83.617,30.289
223.703,22.492,182.856,84.249,30.391
223.828,22.474,182.783,84.863,30.668
223.953,22.465,182.65,84.813,30.852
224.078,22.451,182.41,83.588,31.227
224.203,22.443,182.429,82.381,31.429
224.328,22.443,182.364,82.478,31.412
224.453,22.455,181.839,83.893,31.046
224.578,22.472,182.687,85.774,30.273
224.703,22.475,184.767,86.439,29.809
224.828,22.467,191.333,85.334,28.979
224.953,22.459,193.818,83.042,28.757
225.078,22.452,194.976,76.789,28.86
225.203,22.472,193.313,73.213,29.702
225.328,22.489,191.089,73.408,30.309
225.453,22.516,184.244,76.744,31.709
225.578,22.529,180.905,81.362,33.019
225.703,22.532,181.12,82.859,33.584
225.828,22.538,181.776,82.664,34.613
225.953,22.549,181.9,79.883,35.577
226.078,22.555,181.978,78.672,36.08
226.203,22.568,182.029,77.609,37.126
226.328,22.59,182.034,77.387,38.282
226.453,22.61,182.076,77.362,38.892
226.578,22.663,182.264,77.488,40.17
226.703,22.691,182.328,77.193,40.793
226.828,22.729,182.156,74.984,41.908
226.953,22.737,182.004,70.899,42.824
227.078,22.733,182.039,68.627,43.194
227.203,22.73,181.973,64.674,43.838
227.328,22.738,181.828,61.821,44.45
227.453,22.745,181.841,60.689,44.742
227.578,22.752,181.674,58.782,45.3
227.703,22.744,181.128,57.438,45.825
227.828,22.737,180.913,57.167,46.121
227.953,22.727,180.698,57.796,46.917
228.078,22.728,180.578,58.733,47.506
228.203,22.738,180.383,61.449,49.243
228.328,22.742,180.632,63.325,51.646
